-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:25:19 UTC. --
Oct 27 16:21:11 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:21:11 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,103 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7290 type: CAN_DO function: build:config-update:master>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,104 DEBUG gear.Server: Adding function build:config-update:master to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,105 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,106 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec72d0 type: CAN_DO function: build:zuul-demo-unit-tests>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,108 DEBUG gear.Server: Adding function build:zuul-demo-unit-tests to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,109 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,109 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7290 type: CAN_DO function: build:zuul-demo-functional-tests>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,110 DEBUG gear.Server: Adding function build:zuul-demo-functional-tests to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,111 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,113 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec72d0 type: CAN_DO function: build:zuul-demo-unit-tests:master>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,113 DEBUG gear.Server: Adding function build:zuul-demo-unit-tests:master to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,114 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,114 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec73d0 type: CAN_DO function: build:config-check:master>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,115 DEBUG gear.Server: Adding function build:config-check:master to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,115 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,116 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec72d0 type: CAN_DO function: build:config-check>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,116 DEBUG gear.Server: Adding function build:config-check to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,116 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,117 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec73d0 type: GRAB_JOB_UNIQ>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,117 DEBUG gear.ServerConnection: Queuing packet to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec72d0 type: NO_JOB>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,118 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,118 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,118 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,119 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,119 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,119 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,120 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7410 type: CAN_DO function: stop:managesf.sftests.com>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,120 DEBUG gear.Server: Adding function stop:managesf.sftests.com to <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,120 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,121 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7490 type: GRAB_JOB_UNIQ>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,121 DEBUG gear.ServerConnection: Queuing packet to <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7410 type: NO_JOB>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,123 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,124 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,124 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,124 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,124 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7490 type: PRE_SLEEP>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,125 DEBUG gear.ServerConnection: Setting state to: SLEEP
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,125 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,125 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,125 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,128 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7490 type: PRE_SLEEP>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,128 DEBUG gear.ServerConnection: Setting state to: SLEEP
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,128 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,128 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,129 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,719 DEBUG gear.Server: Accepting new connection
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,719 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,719 INFO gear.Server: Accepted connection <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,719 DEBUG gear.Server: Registering <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,719 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,720 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,720 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,720 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,721 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7490 name: None host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec72d0 type: SET_CLIENT_ID id: Zuul Merger>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,721 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,721 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,721 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,727 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,727 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec72d0 type: CAN_DO function: merger:merge>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,728 DEBUG gear.Server: Adding function merger:merge to <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,728 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,728 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec7510 type: CAN_DO function: merger:update>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,728 DEBUG gear.Server: Adding function merger:update to <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,729 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,729 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,729 DEBUG gear.Server: Polling 4 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,729 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,730 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec7510 type: GRAB_JOB_UNIQ>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,730 DEBUG gear.ServerConnection: Queuing packet to <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>: <gear.Packet 0x1ec72d0 type: NO_JOB>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,730 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7490 name: Zuul Merger host: 192.168.122.10 port: 58224>
